place,title,period,price,url
KINTEX,쥬비스다이어트 사업설명회,2020.10.01 ~ 2020.10.01,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027641&sField=&sWord=&eventClCode=&prmtrNm=&koreanEventNm=&searchType=period&periodSYear=2020&periodSMonth=03&periodEYear=2020&periodEMonth=12&cPage=4
KINTEX,2020 카페&베이커리페어,2020.10.15 ~ 2020.10.18,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027641
KINTEX,2020 첨단소재부품뿌리산업기술대전,2020.10.28 ~ 2020.10.30,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027634&sField=&sWord=&eventClCode=&prmtrNm=&koreanEventNm=&searchType=period&periodSYear=2020&periodSMonth=03&periodEYear=2020&periodEMonth=12&cPage=5
COEX,제166회 코엑스 웨딩박람회,2020-03-28 ~ 2020-03-29,,www.weddex.com
COEX,2020 해외유학박람회,2020-04-11 ~ 2020-04-11,,csaf.coei.com
COEX,코베 베이비페어,2020-04-30 ~ 2020-05-03|10:00 ~ 18:00,"10,000원 (사전등록 시 무료입장)",www.cobe.co.kr
COEX,2020 월드IT쇼,2020-05-06 ~ 2020-05-08|10:00 ~ 17:00 (입장마감 16:00),온라인 입장권 : 3000원 / 현장 입장권 : 7000원,worlditshow.co.kr
COEX,2020 서울머니쇼,2020-05-07 ~ 2020-05-09|10:00 ~ 18:00 (토요일은 ~17:00),"5,000원 (온라인 사전등록 시 무료)",seoulmoneyshow.com
COEX,제30회 국제 방송·미디어·음향·조명 전시회,2020-05-13 ~ 2020-05-15|10:00 ~ 17:00,"10,000원 (단,초청장 지참자와 사전등록자 무료입장)",www.kobashow.com/kor/index.asp
COEX,피트 인사이드 2020 – 스마트 헬스케어 & 피트니스 트렌드와 테크놀로지,2020-05-17 ~ 2020-05-17,,www.fitt.kr/notice/noticeDetail.fitt?p=110
COEX,2020 국제인공지능대전,2020-05-19 ~ 2020-05-21|10:00 ~ 17:00 (입장마감 16:30),"10,000원",www.aiexpo.co.kr
COEX,바이오코리아 2020 국제 컨벤션,2020-05-20 ~ 2020-05-22|10:00 ~ 17:00,"무료 (사전등록시) / 10,000 (현장등록시)",www.biokorea.org/
COEX,2020 서울국제관광산업박람회,"2020-05-21 ~ 2020-05-24|10:00 ~ 18:00 (마지막 날 24일, 10:00 ~ 17:00)",무료,sitif.or.kr/main/main.php
COEX,2020 국제전기전력전시회,2020-05-27 ~ 2020-05-29|10:00 ~ 17:00,"5,000원",www.electrickorea.org
COEX,2020 한국전자제조산업전,2020-05-27 ~ 2020-05-29|10:00 ~ 17:00,"5,000원",www.electronickorea.com
COEX,2020 홈케어·재활·복지 전시회,2020-05-28 ~ 2020-05-30|10:00 ~ 18:00,무료,rehahomecare.com/
COEX,제 16회 서울 프로젝트돌,2020-05-30 ~ 2020-05-30|11:00 ~ 17:00,"10,000원",blog.naver.com/projectdoll
COEX,제19차 국제반부패회의 및 제9차 국제반부패아카데미(IACA) 당사국총회,2020-06-01 ~ 2020-06-05,,www.iacc2020.kr
COEX,대한민국 조경.정원 박람회,2020-06-02 ~ 2020-06-05|10:00 ~ 18:00 (마지막날 10:00 ~ 17:00),"10,000원",www.jokyongexpo.co.kr
COEX,창립 95주년기념 2020 국제종합학술대회 및 제17회 서울국제치과기자재전시회,"2020-06-05 ~ 2020-06-07|09:30 ~ 18:00 (단, 06.05(금), 12:30 ~ 17:00)","20,000원",www.sidex.or.kr
COEX,창립 95주년기념 2020 국제종합학술대회 및 제17회 서울국제치과기자재전시회,2020-06-06 ~ 2020-06-07,,www.sidex.or.kr
COEX,제18회 국제차문화대전,2020-06-11 ~ 2020-06-14|10:00 ~ 18:00 (입장마감 17:30) *개막일에는 오전 11시 입장가능합니다*,"사전등록시 무료입장 / 일반 : 5,000원 / 단체 : 3,000원 (단체는 30인 이상입니다.) / 장애인증 소지시 무료 / 초등학생 무료(가족관계증빙서류 제출시)",www.teanews.com
COEX,2020 서울국제주류박람회 / 2020 국제맥주및기기설비산업전시회 / 2020 세계전통주페스티벌,"2020-06-12 ~ 2020-06-14|11:00 ~ 19:00 (마지막날, 18:00 종료)","25,000원",www.siwse.com/
COEX,제2회 서울 1인방송 미디어쇼,2020-06-13 ~ 2020-06-15|10:00 ~ 17:00,"10,000원(사전등록시 무료)",www.inshow.kr
COEX,제42회 국제환경산업기술&그린에너지전,2020-06-17 ~ 2020-06-19|10:00 ~ 18:00,"5,000원 (온라인사전등록 및 초청장소지자는 무료)",www.envex.or.kr
COEX,2020 우수급식·외식산업전,2020-06-18 ~ 2020-06-20|11:00 ~ 18:00 (마지막날은 17:00까지),"10,000원",www.fsfair.kr
